"panel","condition","x_value_uM","series_value_uM","mean_RPU","sample_SD_RPU"
"A1","1","0","0","0.023208","0.001747967963093147"
"A1","1","0","1","0.012771000000000001","0.0005826559876977152"
"A1","1","0","10","0.0043945","0.0031077343033148763"
"A1","1","1","0","0.0221095","0.00330148156135999"
"A1","1","1","1","0.016066999999999998","0.0044660864299742335"
"A1","1","1","10","0.001511","0.0005826559876977152"
"A1","1","5","0","0.047789","0.004661247901581722"
"A1","1","5","1","0.017303","0.0011653119753954305"
"A1","1","5","10","0.0059050000000000005","0.002524371208835974"
"A1","1","10","0","0.0615215","0.01359412786831138"
"A1","1","10","1","0.0243065","0.0021361695859645597"
"A1","1","10","10","0.007416","0.0"
"A1","1","50","0","0.46031299999999997","0.07185619110417694"
"A1","1","50","1","0.09448000000000001","0.0077682750981154175"
"A1","1","50","10","0.059874","0.002330623950790861"
"A1","1","100","0","0.9560565000000001","0.011652412647173132"
"A1","1","100","1","0.1414445","0.0069911647455913805"
"A1","1","100","10","0.0943425","0.004466793536755423"
"A2","2","0","0","3.6462510000000004","0.09516101639852309"
"A2","2","0","1","1.3515515","0.019420687745288424"
"A2","2","0","10","0.7294700000000001","0.009709990319253646"
"A2","2","1","0","4.4427354999999995","0.04855207291661186"
"A2","2","1","1","1.287009","0.029131385171323434"
"A2","2","1","10","0.416369","0.2505265183608314"
"A2","2","5","0","6.899478","0.5709675126047018"
"A2","2","5","1","1.4092280000000001","0.015536550196230894"
"A2","2","5","10","0.7267235000000001","0.013594127868311332"
"A2","2","10","0","7.697336","0.13400239188910026"
"A2","2","10","1","1.8692665000000002","0.20780100532119672"
"A2","2","10","10","0.8118650000000001","0.009709990319253646"
"A2","2","50","0","12.10409","0.6292260403066615"
"A2","2","50","1","3.1697335","0.22527927073856566"
"A2","2","50","10","1.8527875","0.029130678064542146"
"A2","2","100","0","14.039","0.33597471601297596"
"A2","2","100","1","4.6061525","0.12040826402078916"
"A2","2","100","10","2.5627575","0.14371308931513527"
"A3","3","0","0","0.028289","0.0"
"A3","3","0","10","0.092694","0.0036896831842314053"
"A3","3","0","100","0.696512","0.0368996602694388"
"A3","3","0.01","0","0.025542500000000003","0.0007771103525240152"
"A3","3","0.01","10","0.0749795","0.0003882016228714201"
"A3","3","0.01","100","0.2941495","0.0038841375490576845"
"A3","3","0.05","0","0.01","0.0"
"A3","3","0.05","10","0.01","0.0"
"A3","3","0.05","100","0.01","0.0"
"A3","3","0.1","0","0.01","0.0"
"A3","3","0.1","10","0.01","0.0"
"A3","3","0.1","100","0.01","0.0"
"A3","3","0.5","0","0.01","0.0"
"A3","3","0.5","10","0.01","0.0"
"A3","3","0.5","100","0.01","0.0"
"A3","3","1","0","0.01","0.0"
"A3","3","1","10","0.01","0.0"
"A3","3","1","100","0.01","0.0"
"A4","4","0","0","2.8058225","0.0679720535551193"
"A4","4","0","10","5.7583079999999995","0.07574103576001597"
"A4","4","0","100","9.5924195","0.1029299986034207"
"A4","4","0.01","0","1.4669050000000001","0.038841375490577"
"A4","4","0.01","10","2.406207","0.12429240156984685"
"A4","4","0.01","100","5.207635","0.6253454382915093"
"A4","4","0.05","0","0.1127435","0.009904444684079975"
"A4","4","0.05","10","0.132381","0.009709990319253686"
"A4","4","0.05","100","0.1856635","0.005825852770195963"
"A4","4","0.1","0","0.061796000000000004","0.0019417152211382634"
"A4","4","0.1","10","0.06934950000000001","0.004466793536755423"
"A4","4","0.1","100","0.084043","0.0007764032457428304"
"A4","4","0.5","0","0.03337","0.0013590592334405444"
"A4","4","0.5","10","0.042708499999999996","0.00330148156135999"
"A4","4","0.5","100","0.041472499999999995","0.0038841375490577088"
"A4","4","1","0","0.02568","0.006020307135022264"
"A4","4","1","10","0.044081499999999996","0.006797417487546284"
"A4","4","1","100","0.043944","0.0027195326804434583"
"B1","1","0","0","0.031173","0.002913279938488575"
"B1","1","0","1","0.025268","0.0011653119753954305"
"B1","1","0","10","0.013320499999999999","0.0017472608563119585"
"B1","1","0.01","0","0.0725075","0.007380073475243998"
"B1","1","0.01","1","0.0420215","0.006991164745591395"
"B1","1","0.01","10","0.022109","0.001747967963093147"
"B1","1","0.05","0","0.332601","0.015536550196230816"
