"sensor","tf_input_rpu","inducer_um","replicate","experiment_rpu"
"CI94","0.011855467","0.0","1","1.628223"
"CI94","0.011855467","0.0","2","1.739484"
"CI94","0.011855467","0.0","3","1.277013"
"CI94","0.011855467","0.0","4","1.37745"
"CI94","0.011855467","0.0","5","1.512172"
"CI94","0.011855467","0.0","6","1.648119"
"CI94","0.123687361","0.0","1","1.701493"
"CI94","0.123687361","0.0","2","1.68521"
"CI94","0.123687361","0.0","3","1.416329"
"CI94","0.123687361","0.0","4","1.458448"
"CI94","0.123687361","0.0","5","1.550111"
"CI94","0.123687361","0.0","6","1.625988"
"CI94","0.782812757","0.0","1","1.696065"
"CI94","0.782812757","0.0","2","1.766621"
"CI94","0.782812757","0.0","3","1.416329"
"CI94","0.782812757","0.0","4","1.435769"
"CI94","0.782812757","0.0","5","1.625988"
"CI94","0.782812757","0.0","6","1.619665"
"CI94","2.036350173","0.0","1","1.712347"
"CI94","2.036350173","0.0","2","1.639077"
"CI94","2.036350173","0.0","3","1.358011"
"CI94","2.036350173","0.0","4","1.39041"
"CI94","2.036350173","0.0","5","1.648119"
"CI94","2.036350173","0.0","6","1.695542"
"CI94","4.641370673","0.0","1","1.717775"
"CI94","4.641370673","0.0","2","1.614654"
"CI94","4.641370673","0.0","3","1.422809"
"CI94","4.641370673","0.0","4","1.422809"
"CI94","4.641370673","0.0","5","1.502687"
"CI94","4.641370673","0.0","6","1.575403"
"CI94","7.648516866","0.0","1","1.614654"
"CI94","7.648516866","0.0","2","1.421981"
"CI94","7.648516866","0.0","3","1.458448"
"CI94","7.648516866","0.0","4","1.341811"
"CI94","7.648516866","0.0","5","1.474233"
"CI94","7.648516866","0.0","6","1.515334"
"CI94","0.011855467","0.001","1","1.750339"
"CI94","0.011855467","0.001","2","1.894166"
"CI94","0.011855467","0.001","3","1.338571"
"CI94","0.011855467","0.001","4","1.416329"
"CI94","0.011855467","0.001","5","1.502687"
"CI94","0.011855467","0.001","6","1.61018"
"CI94","0.123687361","0.001","1","1.883311"
"CI94","0.123687361","0.001","2","1.894166"
"CI94","0.123687361","0.001","3","1.426049"
"CI94","0.123687361","0.001","4","1.490847"
"CI94","0.123687361","0.001","5","1.591211"
"CI94","0.123687361","0.001","6","1.632311"
"CI94","0.782812757","0.001","1","1.899593"
"CI94","0.782812757","0.001","2","1.918589"
"CI94","0.782812757","0.001","3","1.445488"
"CI94","0.782812757","0.001","4","1.439009"
"CI94","0.782812757","0.001","5","1.515334"
"CI94","0.782812757","0.001","6","1.600696"
"CI94","2.036350173","0.001","1","1.918589"
"CI94","2.036350173","0.001","2","1.864315"
"CI94","2.036350173","0.001","3","1.516767"
"CI94","2.036350173","0.001","4","1.516767"
"CI94","2.036350173","0.001","5","1.641796"
"CI94","2.036350173","0.001","6","1.591211"
"CI94","4.641370673","0.001","1","1.829037"
"CI94","4.641370673","0.001","2","1.785617"
"CI94","4.641370673","0.001","3","1.510287"
"CI94","4.641370673","0.001","4","1.477888"
"CI94","4.641370673","0.001","5","1.61018"
"CI94","4.641370673","0.001","6","1.575403"
"CI94","7.648516866","0.001","1","1.682497"
"CI94","7.648516866","0.001","2","1.573948"
"CI94","7.648516866","0.001","3","1.445488"
"CI94","7.648516866","0.001","4","1.315892"
"CI94","7.648516866","0.001","5","1.407841"
"CI94","7.648516866","0.001","6","1.493203"
"CI94","0.011855467","0.01","1","1.934871"
"CI94","0.011855467","0.01","2","1.972863"
"CI94","0.011855467","0.01","3","1.406609"
"CI94","0.011855467","0.01","4","1.458448"
"CI94","0.011855467","0.01","5","1.496364"
"CI94","0.011855467","0.01","6","1.534303"
"CI94","0.123687361","0.01","1","2.029851"
"CI94","0.123687361","0.01","2","2.151967"
"CI94","0.123687361","0.01","3","1.439009"
"CI94","0.123687361","0.01","4","1.536206"
"CI94","0.123687361","0.01","5","1.578565"
"CI94","0.123687361","0.01","6","1.720835"
"CI94","0.782812757","0.01","1","2.048847"
"CI94","0.782812757","0.01","2","2.02171"
"CI94","0.782812757","0.01","3","1.413089"
"CI94","0.782812757","0.01","4","1.539446"
"CI94","0.782812757","0.01","5","1.56908"
"CI94","0.782812757","0.01","6","1.635473"
"CI94","2.036350173","0.01","1","1.8019"
"CI94","2.036350173","0.01","2","1.717775"
"CI94","2.036350173","0.01","3","1.445488"
"CI94","2.036350173","0.01","4","1.477888"
"CI94","2.036350173","0.01","5","1.616503"
"CI94","2.036350173","0.01","6","1.584888"
"CI94","4.641370673","0.01","1","1.476255"
"CI94","4.641370673","0.01","2","1.419267"
"CI94","4.641370673","0.01","3","1.277013"
"CI94","4.641370673","0.01","4","1.289972"
"CI94","4.641370673","0.01","5","1.505849"
"CI94","4.641370673","0.01","6","1.445779"
"CI94","7.648516866","0.01","1","1.142469"
"CI94","7.648516866","0.01","2","1.050204"
"CI94","7.648516866","0.01","3","1.01458"
"CI94","7.648516866","0.01","4","1.01458"
"CI94","7.648516866","0.01","5","1.14227"
"CI94","7.648516866","0.01","6","1.072716"
"CI94","0.011855467","0.05","1","1.869742"
"CI94","0.011855467","0.05","2","1.972863"
"CI94","0.011855467","0.05","3","1.38717"
"CI94","0.011855467","0.05","4","1.497327"
"CI94","0.011855467","0.05","5","1.632311"
"CI94","0.011855467","0.05","6","1.619665"
"CI94","0.123687361","0.05","1","2.187246"
"CI94","0.123687361","0.05","2","2.165536"
"CI94","0.123687361","0.05","3","1.507047"
"CI94","0.123687361","0.05","4","1.578325"
"CI94","0.123687361","0.05","5","1.641796"
"CI94","0.123687361","0.05","6","1.822004"
"CI94","0.782812757","0.05","1","1.943012"
"CI94","0.782812757","0.05","2","1.90502"
"CI94","0.782812757","0.05","3","1.302932"
"CI94","0.782812757","0.05","4","1.351531"
"CI94","0.782812757","0.05","5","1.445779"
"CI94","0.782812757","0.05","6","1.483718"
"CI94","2.036350173","0.05","1","1.071913"
"CI94","2.036350173","0.05","2","1.050204"
"CI94","2.036350173","0.05","3","0.839624"
"CI94","2.036350173","0.05","4","0.846104"
"CI94","2.036350173","0.05","5","1.047423"
"CI94","2.036350173","0.05","6","1.047423"
"CI94","4.641370673","0.05","1","0.436906"
"CI94","4.641370673","0.05","2","0.412483"
"CI94","4.641370673","0.05","3","0.408715"
"CI94","4.641370673","0.05","4","0.421675"
"CI94","4.641370673","0.05","5","0.487828"
"CI94","4.641370673","0.05","6","0.487828"
"CI94","7.648516866","0.05","1","0.191316"
"CI94","7.648516866","0.05","2","0.184532"
"CI94","7.648516866","0.05","3","0.205249"
"CI94","7.648516866","0.05","4","0.187105"
"CI94","7.648516866","0.05","5","0.24755"
"CI94","7.648516866","0.05","6","0.235536"
"CI94","0.011855467","0.1","1","1.967436"
